CountryCode,ProjYear,p20,p80
LSO,2011,1.22823928997438,5.65078597088985
LBR,2011,1.08240980819513,2.9108885270529
LTU,2011,9.68562638852939,25.3175546601382
LUX,2011,36.3807962028086,97.535313589021
MDG,2011,,2.01480742367534
MWI,2011,0.71530767229595,
MYS,2011,7.9367093268319,30.2750396252483
MDV,2011,6.48711309764763,
MLI,2011,23.614883593781,23.614883593781
MLT,2011,20.5212906487778,47.1838708764201
MRT,2011,2.55964692896178,7.29450671440068
MUS,2011,5.66632081425345,15.0831843191466
MEX,2011,3.88466311887242,13.4804876713619
FSM,2011,2.48241865353855,8.43343096745199
MDA,2011,5.09647555092386,12.2862066332718
MNG,2011,4.46894608963095,11.9997570463791
MNE,2011,8.06946662146194,19.3000645174851
MAR,2011,,
MOZ,2011,,2.61430458599822
MMR,2011,2.28924686592446,5.84930409740006
NAM,2011,1.90903519258256,9.62481264042689
NPL,2011,2.04210516741778,5.13641590507827
NLD,2011,29.8901736949843,64.8221199133407
NIC,2011,3.19748979230874,11.1287361534124
NER,2011,1.2899420214897,
NGA,2011,1.04485115181904,
MKD,2011,3.77219006739574,14.1483931948386
NOR,2011,40.1458816838422,84.1046011096486
PAK,2011,2.31933569331813,5.00472963605849
PAN,2011,5.84877676076529,27.0468546743318
PNG,2011,1.24435728512022,
PRY,2011,4.46515417683809,19.6755012525789
PER,2011,4.14013455359943,16.2220892369321
PHL,2011,2.40638763041796,7.67593147373322
POL,2011,8.67407923470772,
PRT,2011,13.5689125471736,
ROU,2011,5.51063046780466,12.575189795084
RUS,2011,9.06647345496367,27.7515425574006
RWA,2011,0.901958433445577,2.8175898632276
WSM,2011,4.27161028741175,12.4718338899713
STP,2011,,3.88079066362452
SEN,2011,1.33054932817814,4.20535444171152
SRB,2011,,16.0385481979757
SYC,2011,8.549884045036,23.4676781144641
SLE,2011,99.99940397351,99.99940397351
SVK,2011,14.9732520629885,32.0325533285763
SVN,2011,22.3170918978526,44.2272022242054
SLB,2011,1.60053881540336,
ZAF,2011,2.13051013152023,14.6256958720136
SSD,2011,0.907790658571107,4.16336792093111
ESP,2011,17.7956813416209,53.1355407288033
LKA,2011,,9.0384508484633
LCA,2011,3.13754405939177,21.3262815787234
SDN,2011,2.13205597340217,5.99168796735825
SUR,2011,2.13897252699759,14.2643096383769
SWE,2011,,65.9991079376728
CHE,2011,35.8582925163611,91.1507031745793
SYR,2011,3.8629541467543,10.31339080649
TWN,2011,21.4640252801589,61.7347457615614
TJK,2011,3.18066847814801,8.0136508967643
TZA,2011,,3.23659180782901
THA,2011,6.30993537211549,17.8347693443002
TLS,2011,1.61653752207935,3.56949849403266
TGO,2011,0.865705591496081,3.65279730211582
TON,2011,4.54796515470172,13.3127719349877
TTO,2011,10.3181912730996,35.882753710003
TUN,2011,4.54749619425152,13.0196434591598
TUR,2011,6.82845967674631,21.8105141382542
TKM,2011,2.71578501539421,8.92212993673479
TUV,2011,3.60965864748012,
